EURMALEbirth,EURMmodeage2dp,EURFmodeage2dp,EURMmoderawage,EURFmoderawage,EURMrawMedian,EURFrawMedian,EURMrawMean,EURFrawMean,EURMIntMedian,EURFIntMedian,EURMIntMean,EURFIntMean,EURMbulkperctotal,EURFbulkperctotal,EURMperc76overTotal,EURFperc76overTotal,EURMperc60to76,EURFperc60to76,EURMperceld0,EURFperceld0,EUMMmodeage2dp,EUMFmodeage2dp,EUMMmoderawage,EUMFmoderawage,EUMMrawMedian,EUMFrawMedian,EUMMrawMean,EUMFrawMean,EUMMIntMedian,EUMFIntMedian,EUMMIntMean,EUMFIntMean,EUMMbulkperctotal,EUMFbulkperctotal,EUMMperc76overTotal,EUMFperc76overTotal,EUMMperc60to76,EUMFperc60to76,EUMMperceld0,EUMFperceld0,DENMmodeage2dp,DENFmodeage2dp,DENMmoderawage,DENFmoderawage,DENMrawMedian,DENFrawMedian,DENMrawMean,DENFrawMean,DENMIntMedian,DENFIntMedian,DENMIntMean,DENFIntMean,DENMbulkperctotal,DENFbulkperctotal,DENMperc76overTotal,DENFperc76overTotal,DENMperc60to76,DENFperc60to76,DENMperceld0,DENFperceld0,FINMmodeage2dp,FINFmodeage2dp,FINMmoderawage,FINFmoderawage,FINMrawMedian,FINFrawMedian,FINMrawMean,FINFrawMean,FINMIntMedian,FINFIntMedian,FINMIntMean,FINFIntMean,FINMbulkperctotal,FINFbulkperctotal,FINMperc76overTotal,FINFperc76overTotal,FINMperc60to76,FINFperc60to76,FINMperceld0,FINFperceld0,FRAMmodeage2dp,FRAFmodeage2dp,FRAMmoderawage,FRAFmoderawage,FRAMrawMedian,FRAFrawMedian,FRAMrawMean,FRAFrawMean,FRAMIntMedian,FRAFIntMedian,FRAMIntMean,FRAFIntMean,FRAMbulkperctotal,FRAFbulkperctotal,FRAMperc76overTotal,FRAFperc76overTotal,FRAMperc60to76,FRAFperc60to76,FRAMperceld0,FRAFperceld0,ICEMmodeage2dp,ICEFmodeage2dp,ICEMmoderawage,ICEFmoderawage,ICEMrawMedian,ICEFrawMedian,ICEMrawMean,ICEFrawMean,ICEMIntMedian,ICEFIntMedian,ICEMIntMean,ICEFIntMean,ICEMbulkperctotal,ICEFbulkperctotal,ICEMperc76overTotal,ICEFperc76overTotal,ICEMperc60to76,ICEFperc60to76,ICEMperceld0,ICEFperceld0,ITAMmodeage2dp,ITAFmodeage2dp,ITAMmoderawage,ITAFmoderawage,ITAMrawMedian,ITAFrawMedian,ITAMrawMean,ITAFrawMean,ITAMIntMedian,ITAFIntMedian,ITAMIntMean,ITAFIntMean,ITAMbulkperctotal,ITAFbulkperctotal,ITAMperc76overTotal,ITAFperc76overTotal,ITAMperc60to76,ITAFperc60to76,ITAMperceld0,ITAFperceld0,NETMmodeage2dp,NETFmodeage2dp,NETMmoderawage,NETFmoderawage,NETMrawMedian,NETFrawMedian,NETMrawMean,NETFrawMean,NETMIntMedian,NETFIntMedian,NETMIntMean,NETFIntMean,NETMbulkperctotal,NETFbulkperctotal,NETMperc76overTotal,NETFperc76overTotal,NETMperc60to76,NETFperc60to76,NETMperceld0,NETFperceld0,NORMmodeage2dp,NORFmodeage2dp,NORMmoderawage,NORFmoderawage,NORMrawMedian,NORFrawMedian,NORMrawMean,NORFrawMean,NORMIntMedian,NORFIntMedian,NORMIntMean,NORFIntMean,NORMbulkperctotal,NORFbulkperctotal,NORMperc76overTotal,NORFperc76overTotal,NORMperc60to76,NORFperc60to76,NORMperceld0,NORFperceld0,SWEMmodeage2dp,SWEFmodeage2dp,SWEMmoderawage,SWEFmoderawage,SWEMrawMedian,SWEFrawMedian,SWEMrawMean,SWEFrawMean,SWEMIntMedian,SWEFIntMedian,SWEMIntMean,SWEFIntMean,SWEMbulkperctotal,SWEFbulkperctotal,SWEMperc76overTotal,SWEFperc76overTotal,SWEMperc60to76,SWEFperc60to76,SWEMperceld0,SWEFperceld0,SWIMmodeage2dp,SWIFmodeage2dp,SWIMmoderawage,SWIFmoderawage,SWIMrawMedian,SWIFrawMedian,SWIMrawMean,SWIFrawMean,SWIMIntMedian,SWIFIntMedian,SWIMIntMean,SWIFIntMean,SWIMbulkperctotal,SWIFbulkperctotal,SWIMperc76overTotal,SWIFperc76overTotal,SWIMperc60to76,SWIFperc60to76,SWIMperceld0,SWIFperceld0
1880,77.64161,81.1386,75.5,82.5,76,78,75.58561517,77.76628416,76.3,78.75,76.28,78.41,39.3213852,46.81942694,18.32750522,26.39139568,20.99388158,20.42803126,0.463450442,1.187043106,79.17481,80.96873,79.5,82.5,77,78,76.36033111,77.85932764,77.16,78.81,77.02,78.48,48.7127785,53.07364251,24.49242437,30.20321359,24.22036451,22.87043256,0.719927379,1.37730714,79.81611,80.95423,79.5,80.5,77,78,76.84149434,77.7874424,77.68,78.77,77.46,78.4,55.28651825,56.89368975,29.00945637,32.38302956,26.27721764,24.51082406,0.909655904,1.559988267,71.00585,78.55902,69.5,77.5,73,76,73.21448387,76.22517118,73.33,77,73.89,76.84,35.70991908,45.3166979,12.56570477,22.55273905,23.14444894,22.76406869,0.117312481,0.524479749,75.33809,81.44814,72.5,82.5,74,78,74.55656498,77.85651053,75.08,78.89,75.3,78.52,36.9052155,50.84173329,15.34645324,28.78902589,21.55877079,22.05270962,0.347213312,1.40211467,82.52691,80.36282,80.5,80.5,79,80,77.91846523,78.82730924,79.5,80.14,78.58,79.44,36.32087797,44.38186226,21.26121418,27.36703265,15.06837384,17.02195922,0.696803414,1.425923285,79.01646,80.77576,80.5,82.5,76,78,75.97312895,77.57824205,76.78,78.51,76.64,78.2,36.1207473,39.21178278,17.55127848,21.80686903,18.56947895,17.40491806,0.424220649,0.86617561,79.662,81.14977,82.5,80.5,77,78,76.92387121,78.01440844,77.87,79.03,77.63,78.66,49.1592906,51.6621885,25.9692899,29.66251462,23.19005399,21.99968793,0.895307152,1.435372897,82.91011,82.91003,82.5,83.5,78,80,77.60043155,79.14617899,78.77,80.39,78.25,79.77,51.61991598,56.30679127,29.35308193,35.56305402,22.26696509,20.74387616,0.950039705,1.819821046,79.60122,80.79299,81.5,81.5,77,78,76.81496193,78.11937071,77.65,79,77.44,78.72,52.88861688,56.29458836,27.84202276,32.55727534,25.04666707,23.73734346,0.781978888,1.626720954,76.49046,80.50358,76.5,82.5,75,78,75.20858159,77.4658715,75.64,78.31,75.85,78.08,46.24978031,52.36917892,20.49798692,28.85521507,25.75195548,23.51403705,0.541853932,1.185827748
1881,77.10735,80.52548,76.5,81.5,76,78,75.56467296,77.74837485,76.24,78.64,76.26,78.38,37.70067805,45.57145479,17.43228082,25.52205454,20.26839874,20.04940025,0.429070218,1.152167147,78.99317,80.52059,78.5,81.5,77,78,76.37894862,77.94997585,77.18,78.85,77.03,78.56,49.77750083,53.95497344,25.05997476,30.82381351,24.71753303,23.1311636,0.712333861,1.395592929,79.41175,80.12807,79.5,79.5,77,78,76.72441075,77.8087118,77.53,78.66,77.34,78.41,55.31200028,56.86436653,28.76388118,32.1301432,26.54830144,24.73435134,0.838751282,1.568098351,72.68056,78.49004,74.5,78.5,73,76,73.32687244,76.21975493,73.51,76.99,74.02,76.83,36.73087675,45.65900107,13.00595963,22.80541717,23.7251589,22.85364071,0.163881179,0.460083235,74.69582,81.10029,74.5,81.5,74,78,74.6513716,77.98568283,75.13,78.98,75.38,78.64,34.441206,49.64907362,14.40288574,28.34968215,20.03833067,21.29939146,0.317982857,1.42035373,79.70141,79.78095,79.5,79.5,78,80,77.29682997,79.00477327,78.41,80.21,77.98,79.64,29.15745868,37.01151862,15.97274156,22.97364144,13.19227958,14.04494382,0.756245326,1.3249947,77.39756,79.65718,76.5,81.5,76,78,75.74641359,77.32567966,76.48,78.1,76.46,77.96,34.27692464,37.66043986,16.10753708,20.30265731,18.16939654,17.35778828,0.379340707,0.791644281,79.73792,80.63551,81.5,81.5,77,78,76.93161759,78.10339209,77.87,79.01,77.61,78.74,50.52425831,52.90600804,26.82961451,30.33053113,23.69467059,22.57549104,0.898560188,1.567114394,81.11477,82.56207,81.5,82.5,78,80,77.77559982,79.36458984,78.85,80.55,78.42,79.97,52.85578676,57.11121641,30.39236331,36.73483431,22.46362528,20.37648906,1.025966713,1.864725071,82.49494,80.39634,82.5,80.5,77,79,76.81808996,78.21615033,77.65,79.05,77.46,78.8,53.54062358,56.67818074,28.01398311,33.00836829,25.5267282,23.66985903,0.754484577,1.527688658,76.90922,80.86994,78.5,81.5,75,78,75.24139911,77.58626296,75.78,78.47,75.89,78.19,48.01050125,54.6795255,21.49562854,30.30499046,26.51501055,24.37463116,0.487019774,1.239876743
1882,78.40014,80.89682,80.5,80.5,76,78,75.72461626,77.92793971,76.44,78.89,76.43,78.58,38.98422414,47.45298311,18.39784212,27.03754548,20.58638354,20.41543763,0.468088334,1.282093357,79.07236,80.7454,80.5,80.5,77,78,76.40958324,78.01602946,77.18,78.95,77.06,78.64,50.10988441,54.33627038,25.28278205,31.1903168,24.82710922,23.14595357,0.768700596,1.533534765,79.96814,80.52598,80.5,80.5,77,78,76.98105401,77.89674573,77.86,78.8,77.59,78.54,55.12429677,57.10412479,29.46202792,32.44830864,25.66244891,24.65587914,0.948349182,1.738636342,68.56557,79.71698,70.5,79.5,73,77,73.16695604,76.3811473,73.22,77.22,73.85,77,36.86465814,46.87959471,12.87815461,23.81964505,23.98673395,23.06005777,0.192016762,0.643259933,75.07851,81.49537,73.5,80.5,75,79,74.76598106,78.15317056,75.27,79.23,75.49,78.82,34.11407055,50.34138086,14.49850927,29.16521119,19.61556965,21.17617186,0.327818754,1.508243839,78.98574,79.41172,79.5,79.5,77,79,76.57909605,78.68160377,77.44,79.88,77.21,79.35,29.97129867,37.88758824,15.41913253,22.97381825,14.56232591,14.92270575,0.338658742,1.251005272,79.39277,80.35431,80.5,80.5,76,78,76.00070248,77.6218445,76.82,78.5,76.72,78.26,37.30402873,41.19817602,18.13377967,22.92242081,19.17025823,18.27576297,0.429915169,0.947258465,79.23824,80.49822,80.5,80.5,77,79,76.95877186,78.21844383,77.83,79.23,77.67,78.85,51.04570428,53.33793415,26.93004356,30.98915726,24.11569994,22.34879072,1.006509239,1.639593331,80.88257,81.19906,80.5,81.5,78,80,77.773,79.16175387,78.89,80.36,78.41,79.78,52.90300268,57.08270367,30.37964848,36.09219046,22.52345339,20.99061837,0.968786236,1.840359827,79.25284,80.47723,80.5,79.5,77,79,76.81891462,78.23400886,77.64,79.02,77.45,78.82,53.81643594,56.98573529,28.22057122,33.0610724,25.59592276,23.92467818,0.786361531,1.783528851,77.88017,80.83462,80.5,80.5,75,78,75.34102552,77.81643254,75.9,78.72,76.01,78.43,49.21296252,55.00506596,22.31528764,31.04179928,26.89783981,23.96331637,0.56547666,1.383884626
1883,78.13782,80.76344,79.5,79.5,76,78,75.79817191,78.05694917,76.49,79.02,76.49,78.71,39.17004005,47.88038511,18.60699841,27.56745573,20.56304315,20.31292939,0.494025224,1.33265803,78.84609,80.59404,78.5,80.5,77,79,76.46379088,78.19814231,77.25,79.13,77.13,78.83,50.54866012,54.9862466,25.63695312,31.97501769,24.91171735,23.0112289,0.792535722,1.697833748,78.57999,80.24382,80.5,80.5,77,78,76.81544995,78.12162087,77.54,79.02,77.43,78.78,56.07903762,57.55032099,29.26359861,33.20457055,26.8155596,24.34587823,0.880285936,1.811325673,72.27739,78.60301,74.5,78.5,73,77,73.37277904,76.53114994,73.51,77.27,74.03,77.16,37.40369069,47.59873844,13.37390425,24.25006117,24.03001738,23.34881097,0.187313536,0.74068033,75.7464,81.30699,79.5,79.5,75,79,74.86190098,78.26128277,75.34,79.33,75.58,78.93,33.80461818,50.14848727,14.4619429,29.27788643,19.34268153,20.87060083,0.362053292,1.562011735,78.58026,84.60916,78.5,84.5,78,79,77.86639676,78.86317907,78.85,80.02,78.51,79.48,44.26126691,50.09525153,25.63390377,31.25762264,18.63632291,18.84871637,1.164770182,1.612724395,78.40567,80.27196,79.5,79.5,76,78,76.05968934,77.74608477,76.82,78.63,76.74,78.38,37.86517191,42.13878201,18.52443552,23.73931119,19.34074364,18.39947082,0.452319602,0.938558185,79.58754,82.23289,79.5,82.5,77,79,77.03235747,78.41218883,78,79.46,77.78,79.05,50.82018909,53.35634462,27.16538255,31.51652373,23.65485963,21.83984897,0.982135226,1.788747514,79.52535,80.49556,80.5,80.5,78,80,77.80700587,79.50353315,78.8,80.63,78.44,80.12,54.03035951,58.854884,31.06054316,37.90813204,22.97001248,20.94682127,1.12120596,2.145281663,79.02257,80.44279,78.5,78.5,77,79,76.88282495,78.42316753,77.72,79.23,77.52,79.03,54.12203654,57.92033527,28.54891001,34.04766449,25.57318502,23.8727173,0.894893318,1.990943687,77.37666,80.56313,76.5,79.5,75,78,75.43241307,77.8346396,76.02,78.76,76.11,78.46,49.70436397,55.39435571,22.72984648,31.4478222,26.9746362,23.94658371,0.534174718,1.545912342
1884,78.2099,81.02558,78.5,78.5,76,79,75.91868583,78.25426934,76.61,79.23,76.59,78.89,39.45082899,48.33163311,18.99146509,28.30356137,20.45936391,20.02807173,0.503472963,1.419164351,78.94315,81.51836,78.5,81.5,77,79,76.56100157,78.3814196,77.39,79.34,77.24,79.02,50.97358062,55.21575123,26.15343128,32.60601506,24.82015269,22.60973617,0.835934437,1.768620126,79.04885,80.1985,79.5,80.5,77,79,76.93337991,78.25806101,77.76,79.11,77.57,78.88,57.05207685,58.85429329,30.29847071,34.31526055,26.7537485,24.53912858,0.976538867,1.85616895,72.35693,78.92975,69.5,77.5,73,77,73.337267,76.62498582,73.52,77.43,74.03,77.24,37.2551307,47.13837491,13.47187393,24.37962732,23.78343163,22.75885456,0.237309737,0.780914869,77.41197,81.80742,78.5,83.5,75,79,75.066404,78.58958817,75.58,79.69,75.78,79.24,33.72809862,50.14728055,14.78886701,30.06271442,18.93923787,20.08456613,0.35944206,1.66794135,81.45632,84.00591,81.5,83.5,79,81,78.57545605,80.40328467,79.84,81.91,79.2,80.99,49.83059251,55.57527509,30.33633584,37.62993763,19.50252045,17.95040819,1.322204776,3.853759951,78.22215,80.40593,78.5,78.5,76,78,76.0989555,77.82527156,76.8,78.71,76.74,78.45,38.25175663,43.1048399,18.77854707,24.48802751,19.47321815,18.61681431,0.451997574,1.015871653,79.34732,84.20062,78.5,84.5,78,79,77.16667084,78.64535884,78.1,79.72,77.9,79.31,51.45883512,53.88318691,27.88552537,32.30972034,23.5733355,21.57349465,1.033940813,1.790302374,80.93443,79.68281,80.5,79.5,78,80,77.75675187,79.46408244,78.73,80.51,78.39,80.08,52.82795818,57.84838393,30.03193627,37.19892656,22.7961493,20.64949203,1.111463552,2.193878559,79.30467,80.90639,80.5,82.5,77,79,77.00083944,78.69998934,77.82,79.56,77.63,79.31,55.12210587,58.17723326,29.36849209,34.9959889,25.75365584,23.18127537,0.91842133,2.12881353,77.50328,80.87013,77.5,78.5,76,78,75.50875589,78.01448491,76.11,78.97,76.16,78.64,49.67019953,55.60540412,23.08359557,32.18755238,26.58667565,23.41795211,0.563945304,1.638478809
1885,78.05156,81.38202,77.5,82.5,76,79,76.0364246,78.48158037,76.68,79.47,76.67,79.08,39.78515313,49.15514557,19.29595008,29.25496634,20.48920379,19.90017923,0.517069516,1.523184104,78.68793,81.26102,78.5,80.5,77,79,76.64840548,78.55563393,77.47,79.52,77.3,79.17,51.71921072,55.80850196,26.63375028,33.31746702,25.08546722,22.49103494,0.828234536,1.86995827,79.4131,80.63103,79.5,80.5,77,79,76.93319173,78.56055561,77.77,79.44,77.55,79.19,57.20845978,58.43617121,30.26661115,34.75711839,26.94205115,23.67908321,0.963456082,2.085486081,73.54051,79.09698,76.5,79.5,73,77,73.42505593,76.79755722,73.68,77.57,74.15,77.41,38.26251703,47.90163447,13.88534318,25.01580226,24.37740729,22.88594156,0.223074806,0.740901943,77.09027,82.21793,77.5,82.5,75,79,75.20679072,78.76639423,75.66,79.84,75.86,79.37,35.09557268,52.20909557,15.56442653,31.6492827,19.53115037,20.55981509,0.389126367,1.838359386,82.63779,83.17407,80.5,83.5,79,81,77.96078431,80.11022364,79.13,81.61,78.6,80.71,49.03374676,56.59677959,28.32856981,37.88819876,20.71479141,18.71490954,1.048850198,3.52599745,78.17813,80.82452,77.5,82.5,76,79,76.24175335,78.14920358,76.9,79.07,76.84,78.73,37.55395539,43.23150187,18.61717953,25.20123808,18.93678103,18.03026929,0.463550334,1.086132108,79.79337,81.34887,78.5,81.5,78,79,77.38298345,78.85038704,78.22,79.99,77.98,79.5,52.31590511,55.00307276,28.75269859,33.39723001,23.56325815,21.60585644,1.042781936,1.990553496,81.56232,83.498,81.5,83.5,78,80,77.79739972,79.59717193,78.83,80.61,78.42,80.2,54.4351889,58.5303916,31.34031736,38.08166196,23.09496674,20.44879693,0.990192335,2.230594334,78.94638,81.20126,78.5,83.5,77,79,77.00188295,78.70217596,77.76,79.62,77.62,79.31,55.72884753,58.68939445,29.51364315,35.27114183,26.21524693,23.4182676,0.920305905,2.125939137,77.10572,81.19567,77.5,81.5,76,79,75.56198913,78.27980725,76.06,79.24,76.21,78.89,49.72494422,55.48904849,22.94592853,32.641541,26.7790887,22.84753295,0.588979321,1.752017685
1886,78.13499,81.46256,76.5,81.5,76,79,76.08111883,78.60392298,76.74,79.6,76.73,79.21,39.59664255,49.31210108,19.19386165,29.47308992,20.40278241,19.83901117,0.535301082,1.574552425,78.67372,80.85321,79.5,81.5,77,79,76.69650624,78.63407594,77.42,79.53,77.33,79.25,51.71595108,56.50265041,26.61679794,33.75796178,25.09915984,22.74468863,0.896721334,1.936840033,78.75937,79.8531,79.5,80.5,77,79,76.98727606,78.50483429,77.73,79.2,77.6,79.04,56.46617935,58.14563496,30.01504481,34.11604415,26.45127823,24.029681,0.954131288,1.987191185,72.66048,78.51171,75.5,76.5,73,77,73.43139799,76.85689391,73.63,77.52,74.13,77.45,38.33426133,49.36647616,13.98851141,25.69090126,24.345924,23.67567917,0.285983785,0.925442205,76.68465,82.38422,76.5,81.5,75,79,75.19535351,78.8858049,75.66,79.96,75.86,79.49,34.21068658,51.38579642,15.06186375,31.21831156,19.14883356,20.16748487,0.387947381,1.86576173,81.45966,82.25868,81.5,82.5,79,81,77.89443378,79.72869565,79.19,81.16,78.55,80.37,47.44515577,55.39018775,27.23861908,35.94004373,20.2165539,19.45881378,1.365983371,3.178915123,78.54889,81.16649,76.5,81.5,76,79,76.29973003,78.30119745,77.01,79.3,76.93,78.9,37.60697614,43.67607057,18.66854188,25.68222973,18.93843962,17.99384273,0.465091313,1.131865861,79.40435,83.51575,79.5,83.5,78,79,77.46559437,79.02659021,78.2,80.05,78.02,79.65,51.96638705,55.38788607,28.6146548,34.08692806,23.35178306,21.3009714,1.072126688,2.169630242,80.37975,82.6423,80.5,82.5,78,80,77.76730915,79.59355545,78.65,80.66,78.39,80.21,55.19548871,59.1052713,31.2121441,38.12480793,23.98350531,20.98053151,1.243851053,2.183910474,79.03864,81.17646,79.5,81.5,77,79,77.05391582,78.90032385,77.84,79.75,77.69,79.49,55.92745798,59.29752711,29.683581,35.87669703,26.24394675,23.42084474,0.993496921,2.214990074,76.9805,80.95721,76.5,79.5,76,79,75.71809946,78.27703801,76.21,79.24,76.35,78.9,50.43499944,57.44032,23.41180911,33.72212516,27.02326324,23.71827057,0.656199395,1.734190281
1887,77.7727,81.41589,75.5,80.5,76,79,76.06504448,78.66273219,76.7,79.66,76.72,79.28,39.59305788,49.63057319,19.14564137,29.80081825,20.44741799,19.82975494,0.533133776,1.647470159,78.30577,80.81982,78.5,80.5,77,79,76.69199105,78.77535085,77.35,79.66,77.32,79.38,52.26981706,56.81642251,26.69296128,34.2670333,25.57686245,22.5493927,0.916254718,2.08944877,78.0075,80.02382,78.5,79.5,77,79,76.9726405,78.8566856,77.52,79.62,77.56,79.42,56.85463919,58.76100138,29.679712,35.38716735,27.1750723,23.37395538,1.030238217,2.311609863,75.0664,78.376,70.5,77.5,73,77,73.661219,76.79766656,73.96,77.49,74.35,77.44,37.42169936,48.80860742,13.8770876,25.34595867,23.54475566,23.4626987,0.280608782,0.984064647,76.76333,82.50645,75.5,82.5,75,80,75.28269184,79.01675549,75.78,80.16,75.97,79.64,33.71022521,51.83954923,15.04781081,31.85727106,18.66242529,19.98227816,0.371959279,1.93599691,79.2922,81.50218,79.5,81.5,78,80,77.4114053,79.283054,78.23,80.42,78.06,79.94,47.52640087,55.35568865,25.75814773,34.54215588,21.7789006,20.82281025,1.064746252,2.26783082,77.99331,80.78452,75.5,80.5,76,79,76.16717624,78.26298426,76.87,79.2,76.82,78.88,37.72969938,44.22629004,18.49804104,25.90490031,19.2316634,18.32139151,0.464293401,1.195459589,81.61667,81.90151,81.5,81.5,78,80,77.52770449,79.19717765,78.31,80.16,78.15,79.79,53.56267598,56.07891267,29.41392617,34.85013621,24.14881405,21.22879001,1.197419381,2.370046836,80.78936,82.82038,80.5,82.5,78,80,77.62282323,79.6088526,78.51,80.67,78.25,80.21,56.13733987,59.99394263,31.18861599,38.63998403,24.94888104,21.35405855,1.153614633,2.302333353,78.42356,81.27543,77.5,79.5,77,79,76.99424439,79.04593881,77.69,79.93,77.61,79.64,56.54046768,59.95223335,29.72215678,36.69006655,26.81833871,23.26218144,0.94289741,2.351269048,76.68774,80.91169,74.5,82.5,75,79,75.62889047,78.47567711,76.08,79.41,76.27,79.08,50.70957258,56.88823158,23.30794602,33.77408538,27.40172294,23.11422161,0.693958513,1.88010415
1888,78.1964,81.86335,79.5,81.5,76,79,76.17357712,78.93474838,76.84,79.99,76.84,79.56,39.96567603,50.55195037,19.53355859,30.95155641,20.4321197,19.60039397,0.559638205,1.806448026,78.35937,81.20818,78.5,81.5,77,79,76.70872012,78.91019504,77.39,79.84,77.35,79.54,52.61772006,57.23757842,26.95615786,34.88880337,25.66157228,22.34877505,0.884789067,2.179446894,78.13486,80.1542,78.5,79.5,77,79,76.97483162,78.98717686,77.59,79.78,77.58,79.59,57.29075399,59.14328991,29.97571083,35.87855361,27.3151592,23.26476663,1.035742096,2.399586701,73.86932,78.80818,73.5,77.5,73,77,73.73261825,77.00507561,73.96,77.72,74.41,77.63,37.84411774,48.66064199,13.87748884,25.67100303,23.96680008,22.98974081,0.286105051,0.954829195,76.52211,82.68632,74.5,82.5,75,80,75.38396869,79.24459984,75.9,80.42,76.08,79.88,34.02176137,52.55810934,15.30207158,32.74018217,18.71970087,19.81792717,0.410976461,2.144897694,80.7015,80.63126,80.5,80.5,79,80,78.72323232,79.97790055,79.86,80.92,79.35,80.59,50.921211,57.45606146,30.8705984,37.25332515,20.059871,20.21014316,1.748809267,3.49180484,78.97079,81.53875,79.5,81.5,76,79,76.34521521,78.66694796,77.1,79.7,77,79.28,38.08639916,45.48546557,19.01599339,27.48683781,19.07041446,17.9986296,0.50830093,1.343809032,79.68931,81.46827,80.5,81.5,78,80,77.51744487,79.39215129,78.33,80.53,78.15,80.02,53.89573923,56.58929265,29.7558612,35.82555352,24.13992872,20.76373913,1.135340724,2.542225318,80.76381,82.40775,80.5,82.5,78,80,77.65637909,79.59426041,78.4,80.7,78.27,80.19,54.84312781,59.64797813,30.33764156,38.20801529,24.50561571,21.44006575,1.187739166,2.346400796,79.07843,81.35736,79.5,81.5,77,79,76.96127345,79.08443905,77.73,80.02,77.58,79.69,57.00806709,60.56916664,30.07960428,37.2912106,26.92852015,23.27795604,0.851551372,2.417009026,76.74104,80.96005,77.5,82.5,76,79,75.74802857,78.69019368,76.22,79.63,76.39,79.3,51.8681858,57.98255414,24.15619162,34.87965281,27.71211449,23.10297721,0.680893245,1.970354636
1889,77.9437,81.91925,78.5,83.5,76,79,76.14040116,78.98895037,76.79,80.03,76.8,79.6,39.41422527,50.72843687,19.21262945,31.18693638,20.20159657,19.54150049,0.562835766,1.842588784,78.36961,81.25115,78.5,80.5,77,79,76.72350427,79.11877421,77.41,80.03,77.37,79.73,52.62715348,57.55844846,27.01201107,35.49092397,25.61514581,22.06752449,0.948368821,2.335784243,77.26293,81.39418,76.5,82.5,77,80,76.97115239,79.21523554,77.6,80.06,77.6,79.83,57.15310489,59.12538195,29.80167505,36.05060611,27.35157447,23.07480632,1.093368776,2.620751906,74.46196,78.11028,72.5,77.5,73,77,73.69501775,77.14211009,73.94,77.75,74.39,77.77,37.91647311,49.12204507,14.09603579,26.07461922,23.820537,23.04755826,0.343924891,1.088423124,77.30459,82.85523,78.5,83.5,75,80,75.47326923,79.36733903,76.01,80.57,76.16,79.99,33.48387458,52.80104134,15.26470335,33.22431807,18.21918011,19.57672327,0.424543556,2.174494148,77.67365,82.76709,77.5,84.5,79,81,78.41472868,80.39383562,79.29,81.17,79.06,80.73,47.03265853,54.07157076,27.81033807,35.83630387,19.2323468,18.2398963,1.640674135,3.518355632,77.9904,81.40304,78.5,78.5,76,79,76.18781248,78.57094228,76.86,79.56,76.84,79.18,37.36483264,45.71907554,18.34370797,27.46669535,19.02113143,18.25238018,0.477092106,1.341330034,80.72574,82.40397,80.5,82.5,78,80,77.50573079,79.51253978,78.3,80.59,78.14,80.12,53.55075573,56.85696542,29.50063553,36.09296531,24.05015824,20.76401362,1.161610596,2.553472703,78.15376,80.82082,78.5,80.5,78,80,77.64453747,79.92638283,78.46,81,78.27,80.53,56.04340993,61.04587828,31.30791527,40.17658049,24.73562684,20.86936785,1.057360485,2.58152469,78.83418,81.64188,78.5,79.5,77,80,77.05132679,79.31253362,77.8,80.28,77.68,79.93,56.88104188,60.47306827,30.18478303,37.77961184,26.69636254,22.69347192,1.044273184,2.638019295,76.55727,81.37454,79.5,83.5,76,79,75.75326661,78.93995003,76.16,79.89,76.37,79.52,52.06497628,58.44556549,24.13885441,35.76375645,27.92624249,22.68183421,0.74543961,2.17779849
